miRNA,mRNA_gene,interaction
hsa-miR-27a-3p,MYC,1
hsa-miR-9-5p,CCND1,1
hsa-miR-21-5p,EGFR,1
hsa-miR-27a-3p,BCL2,1
hsa-miR-125b-5p,FOXO1,1
hsa-miR-21-5p,CDKN1A,1
hsa-miR-20a-5p,PTEN,1
hsa-miR-17-5p,CDKN1A,1
hsa-miR-20a-5p,PTEN,1
hsa-miR-92a-3p,BCL2,1
hsa-miR-9-5p,TGFBR2,1
hsa-miR-17-5p,SMAD4,1
hsa-miR-20a-5p,CDKN1A,1
hsa-miR-17-5p,BRCA1,1
hsa-miR-29a-3p,MAPK1,1
hsa-miR-9-5p,EGFR,1
hsa-miR-17-5p,FOXO1,1
hsa-miR-200c-3p,BCL2,1
hsa-miR-34a-5p,BRCA1,1
hsa-miR-34a-5p,VEGFA,1
hsa-miR-200c-3p,MAPK1,1
hsa-miR-27a-3p,EGFR,1
hsa-miR-155-5p,ERBB2,1
hsa-miR-27a-3p,MTOR,1
hsa-miR-21-5p,VEGFA,1
hsa-miR-21-5p,EGFR,1
hsa-miR-17-5p,ERBB2,1
hsa-miR-20a-5p,NOTCH1,1
hsa-miR-20a-5p,EGFR,1
hsa-miR-34a-5p,NOTCH1,1
hsa-miR-146a-5p,AKT1,1
hsa-miR-27a-3p,MTOR,1
hsa-miR-29a-3p,MAPK1,1
hsa-miR-9-5p,NOTCH1,1
hsa-miR-92a-3p,CASP3,1
hsa-miR-125b-5p,PTEN,1
hsa-miR-20a-5p,MAPK1,1
hsa-miR-9-5p,BCL2,1
hsa-miR-125b-5p,MAPK1,1
hsa-miR-9-5p,NOTCH1,1
hsa-miR-17-5p,NOTCH1,1
hsa-miR-125b-5p,TP53,1
hsa-miR-92a-3p,VEGFA,1
hsa-miR-9-5p,CASP3,1
hsa-miR-200c-3p,ERBB2,1
hsa-miR-92a-3p,MAPK1,1
hsa-miR-125b-5p,TP53,1
hsa-miR-92a-3p,ERBB2,1
hsa-miR-9-5p,CDKN1A,1
hsa-miR-155-5p,NOTCH1,1
hsa-miR-9-5p,FOXO1,1
hsa-miR-9-5p,NOTCH1,1
hsa-miR-17-5p,SMAD4,1
hsa-miR-27a-3p,MYC,1
hsa-miR-200c-3p,VEGFA,1
hsa-miR-29a-3p,KRAS,1
hsa-miR-20a-5p,EGFR,1
hsa-miR-21-5p,FOXO1,1
hsa-miR-27a-3p,NOTCH1,1
hsa-miR-21-5p,CASP3,1
hsa-miR-17-5p,SMAD4,1
hsa-miR-200c-3p,SMAD4,1
hsa-miR-9-5p,FOXO1,1
hsa-miR-34a-5p,KRAS,1
hsa-miR-20a-5p,MTOR,1
hsa-miR-155-5p,MYC,1
hsa-miR-34a-5p,BCL2,1
hsa-miR-17-5p,CCND1,1
hsa-miR-27a-3p,NOTCH1,1
hsa-miR-155-5p,TGFBR2,1
hsa-miR-92a-3p,KRAS,1
hsa-miR-125b-5p,BCL2,1
hsa-miR-155-5p,NOTCH1,1
hsa-miR-29a-3p,CCND1,1
hsa-miR-17-5p,AKT1,1
hsa-miR-146a-5p,CDKN1A,1
hsa-miR-125b-5p,AKT1,1
hsa-miR-21-5p,MAPK1,1
hsa-miR-20a-5p,BCL2,1
hsa-miR-21-5p,NOTCH1,1
hsa-miR-155-5p,PTEN,1
hsa-miR-21-5p,ERBB2,1
hsa-miR-29a-3p,VEGFA,1
hsa-miR-17-5p,CASP3,1
hsa-miR-92a-3p,KRAS,1
hsa-miR-27a-3p,SMAD4,1
hsa-miR-20a-5p,CDKN1A,1
hsa-miR-29a-3p,BCL2,1
hsa-miR-29a-3p,BRCA1,1
hsa-miR-21-5p,EGFR,1
hsa-miR-21-5p,MYC,1
hsa-miR-155-5p,MYC,1
hsa-miR-27a-3p,MTOR,1
hsa-miR-34a-5p,MYC,1
hsa-miR-21-5p,AKT1,1
hsa-miR-17-5p,TGFBR2,1
hsa-miR-146a-5p,AKT1,1
hsa-miR-20a-5p,SMAD4,1
hsa-miR-9-5p,TP53,1
hsa-miR-21-5p,MTOR,1
hsa-miR-17-5p,MTOR,1
hsa-miR-17-5p,CCND1,1
hsa-miR-20a-5p,BRCA1,1
hsa-miR-34a-5p,TGFBR2,1
hsa-miR-17-5p,MYC,1
hsa-miR-146a-5p,PTEN,1
hsa-miR-17-5p,TGFBR2,1
hsa-miR-34a-5p,FOXO1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-21-5p,PTEN,0
hsa-miR-21-5p,PTEN,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-21-5p,PTEN,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-21-5p,PTEN,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-21-5p,PTEN,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-21-5p,PTEN,0
hsa-miR-21-5p,PTEN,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-21-5p,PTEN,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-34a-5p,SMAD4,0
hsa-miR-29a-3p,AKT1,0
hsa-miR-29a-3p,ERBB2,0
hsa-miR-125b-5p,CDKN1A,0
hsa-miR-200c-3p,NOTCH1,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-125b-5p,KRAS,0
hsa-miR-34a-5p,FOXO1,0
hsa-miR-29a-3p,CDKN1A,0
hsa-miR-27a-3p,CDKN1A,0
hsa-miR-21-5p,PTEN,0
hsa-miR-125b-5p,KRAS,0
